Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,6.08,6.2,6.066667,6.146667,1.056217,1075000
1/4/2000,6.12,6.2,5.973333,6.033333,1.036743,806200
1/5/2000,6,6.133333,6,6.08,1.044762,744200
1/6/2000,6.053333,6.146667,6.04,6.12,1.051635,1078000
1/7/2000,6.106667,6.193333,6.106667,6.186666,1.063091,1163200
1/10/2000,6.16,6.16,6,6.086667,1.045907,713200
1/11/2000,6.086667,6.12,6,6.006667,1.032161,1180000
1/12/2000,5.98,6.013333,5.853333,5.96,1.024142,3227500
1/13/2000,5.973333,6.206666,5.966667,6.153333,1.057363,2818700
1/14/2000,6.126667,6.126667,6.073333,6.12,1.051635,1577500
1/18/2000,6.026667,6.066667,5.993333,6.026667,1.035597,1833700
1/19/2000,6.026667,6.106667,6.026667,6.08,1.044762,2034200
1/20/2000,6.08,6.226666,6.066667,6.186666,1.063091,2671700
1/21/2000,6.24,6.333333,6.153333,6.166667,1.059654,1301200
1/24/2000,6.186666,6.28,6.106667,6.12,1.051635,1238200
1/25/2000,6.093333,6.153333,6.02,6.033333,1.036743,1046200
1/26/2000,6.053333,6.06,5.893333,5.966667,1.025287,669200
1/27/2000,5.933333,5.946667,5.853333,5.906667,1.014977,333700
1/28/2000,5.906667,5.926667,5.813334,5.86,1.006958,605500
1/31/2000,5.873333,5.973333,5.76,5.966667,1.025287,583000
2/1/2000,5.94,5.94,5.8,5.913333,1.016123,328000
2/2/2000,5.893333,6.033333,5.84,5.92,1.017268,587500
2/3/2000,5.893333,6.133333,5.893333,6.046667,1.039034,871700
2/4/2000,6.02,6.02,5.72,5.813334,0.998939,738700
2/7/2000,5.753334,5.8,5.74,5.76,0.989775,904500
2/8/2000,5.766667,5.773334,5.66,5.68,0.976027,513700
2/9/2000,5.7,5.7,5.626667,5.64,0.969154,579200
2/10/2000,5.64,5.773334,5.64,5.64,0.969154,534200
2/11/2000,5.64,5.666667,5.506667,5.526667,0.949679,816200
2/14/2000,5.54,5.6,5.52,5.553333,0.954262,527500
2/15/2000,5.506667,5.62,5.446667,5.6,0.962281,849200
2/16/2000,5.566667,5.58,5.453333,5.46,0.938224,392500
2/17/2000,5.46,5.506667,5.286667,5.3,0.91073,853700
2/18/2000,5.28,5.4,5.28,5.36,0.92104,933700
2/22/2000,5.426667,5.426667,5.326667,5.373333,0.923331,742500
2/23/2000,5.306667,5.413333,5.193333,5.353333,0.919895,1015000
2/24/2000,5.326667,5.333333,4.96,5.1,0.876362,1494200
2/25/2000,4.96,5.126667,4.96,5.026667,0.863761,855700
2/28/2000,5.053333,5.146667,5.026667,5.026667,0.863761,964500
2/29/2000,5.053333,5.093333,5.02,5.08,0.872926,1187500
3/1/2000,5.053333,5.06,4.946667,5.02,0.862616,485500
3/2/2000,5.04,5.04,4.866667,4.92,0.845432,871700
3/3/2000,4.933333,4.933333,4.793334,4.846667,0.832832,905500
3/6/2000,4.82,4.82,4.693333,4.76,0.817939,470500
3/7/2000,4.8,4.8,4.48,4.58,0.787008,852000
3/8/2000,4.52,4.6,4.486667,4.586667,0.845373,693700
3/9/2000,4.6,4.673333,4.526667,4.673333,0.861347,634500
3/10/2000,4.693333,4.693333,4.486667,4.553333,0.839229,862500
3/13/2000,4.526667,4.66,4.513333,4.526667,0.834315,957000
3/14/2000,4.48,4.693333,4.466667,4.673333,0.861347,741200
3/15/2000,4.68,4.986667,4.673333,4.973333,0.916641,852000
3/16/2000,5.026667,5.413333,5.02,5.273334,0.971933,796700
3/17/2000,5.246666,5.413333,5.233333,5.333333,0.982992,1059200
3/20/2000,5.306667,5.306667,5.186666,5.233333,0.964561,486200
3/21/2000,5.293334,5.326667,5.153333,5.22,0.962104,382500
3/22/2000,5.193333,5.246666,5.166667,5.246666,0.967018,342000
3/23/2000,5.22,5.433333,5.12,5.386667,0.992822,627000
3/24/2000,5.36,5.366667,5.28,5.326667,0.981763,375700
3/27/2000,5.333333,5.473333,5.333333,5.42,0.998966,482500
3/28/2000,5.393333,5.653333,5.393333,5.546667,1.022312,504200
3/29/2000,5.553333,5.613333,5.546667,5.573333,1.027227,407500
3/30/2000,5.6,5.84,5.6,5.773334,1.06409,688000
3/31/2000,5.78,5.9,5.72,5.806667,1.070233,720000
4/3/2000,5.833333,6.146667,5.833333,6.113333,1.126755,1045000
4/4/2000,6.113333,6.346667,6.113333,6.28,1.157474,1288700
4/5/2000,6.306667,6.386667,6.286667,6.366667,1.173446,1746200
4/6/2000,6.366667,6.426667,6.233333,6.32,1.164846,1303000
4/7/2000,6.293334,6.3,6.133333,6.24,1.150101,416200
4/10/2000,6.213333,6.213333,6.173333,6.173333,1.137813,594200
4/11/2000,6.173333,6.293334,6.153333,6.24,1.150101,864200
4/12/2000,6.266667,6.52,6.246666,6.38,1.175904,1261700
4/13/2000,6.36,6.413333,6.253334,6.346667,1.16976,666200
4/14/2000,6.293334,6.293334,6.066667,6.086667,1.12184,1033000
4/17/2000,6.06,6.066667,5.893333,6.026667,1.110781,1206200
4/18/2000,6,6,5.906667,5.973333,1.100951,743200
4/19/2000,5.986667,5.986667,5.826667,5.9,1.087435,711200
4/20/2000,5.866667,6.08,5.853333,6.033333,1.11201,628000
4/24/2000,6.06,6.366667,6.06,6.22,1.146415,1145500
4/25/2000,6.2,6.2,6.033333,6.04,1.113238,702000
4/26/2000,6.026667,6.113333,5.94,6.1,1.124297,756200
4/27/2000,6.073333,6.073333,5.933333,5.933333,1.093579,655000
4/28/2000,5.906667,5.933333,5.78,5.82,1.07269,698200
5/1/2000,5.806667,5.86,5.773334,5.846667,1.077605,1352500
5/2/2000,5.82,5.886667,5.706666,5.853333,1.078835,652500
5/3/2000,5.84,6.04,5.826667,5.92,1.091121,660700
