Date,Open,High,Low,Close,Adj Close,Volume
5/24/2019,89.779999,90.5,86.709999,87.160004,85.46386,3757500
5/28/2019,87.690002,88.379997,86.970001,87.110001,85.414841,3148500
5/29/2019,85.650002,86.639999,84.279999,86.43,84.74807,3974100
5/30/2019,86.260002,86.489998,83.809998,83.959999,82.326141,3010000
5/31/2019,82.699997,83.849998,81.830002,81.879997,80.286606,4316600
6/3/2019,82.470001,83.050003,81.32,82.949997,81.335785,3333200
6/4/2019,83.440002,84.900002,82.580002,84.279999,82.639908,3586200
6/5/2019,84.099998,84.43,80.410004,82.029999,80.433693,4593300
6/6/2019,82.839996,84.779999,82.43,84.269997,82.630096,3545000
6/7/2019,84.489998,85.139999,83.5,84.599998,82.953682,2462100
6/10/2019,85.080002,85.830002,84.82,85.199997,83.542,2044100
6/11/2019,86.230003,87.690002,86.160004,86.5,84.816711,4030700
6/12/2019,85.959999,86.139999,84.440002,85.029999,83.37532,2857600
6/13/2019,86.330002,87,86.110001,86.489998,84.806908,4218100
6/14/2019,86.559998,87.330002,85.059998,85.169998,83.512589,2759500
6/17/2019,84.410004,86.050003,84.32,85.470001,83.806755,2629200
6/18/2019,86.470001,89.080002,86.419998,88.300003,86.58168,3640500
6/19/2019,87.75,89.379997,86.540001,88.650002,86.924873,3318300
6/20/2019,90.400002,92.099998,90.400002,91.449997,89.670387,3772800
6/21/2019,91.370003,93.099998,91.370003,92.370003,90.572487,4052500
6/24/2019,91.839996,92.949997,90.360001,90.559998,88.797699,2311500
6/25/2019,90.419998,90.769997,89.139999,90.040001,88.287819,2641900
6/26/2019,91.5,94.379997,90.720001,93.089996,91.278458,3422300
6/27/2019,92.889999,93.790001,91.889999,92.110001,90.317535,2112400
6/28/2019,92.220001,93.470001,91.669998,93.160004,91.347107,3735900
7/1/2019,95,95.290001,92.449997,93.089996,91.278458,2355200
7/2/2019,92.669998,92.989998,87.349998,87.559998,85.856087,5193200
7/3/2019,88,88.089996,86.129997,87.199997,85.503082,2794500
7/5/2019,87.370003,89,87.199997,88.57,86.846428,5390500
7/8/2019,87.949997,91.040001,87.25,90.150002,88.395676,3219400
7/9/2019,89.709999,90.230003,88.660004,89.150002,87.415138,2626900
7/10/2019,90.050003,92.099998,89.900002,90.660004,88.89576,4298700
7/11/2019,91.150002,91.620003,90.089996,90.839996,89.07225,3640300
7/12/2019,90.839996,91.470001,90.419998,90.900002,89.131088,2393000
7/15/2019,91.160004,91.360001,88.580002,88.75,87.022934,3432500
7/16/2019,88.790001,88.790001,86.260002,87,85.584221,3012000
7/17/2019,87.230003,87.730003,85.110001,85.190002,83.80368,3693500
7/18/2019,84.949997,85.559998,84.519997,85.43,84.039772,3332100
7/19/2019,85.720001,87.400002,84.900002,87.040001,85.623581,3130200
7/22/2019,87.370003,88.769997,86.900002,87.209999,85.790802,3331000
7/23/2019,87.139999,88.370003,86.459999,87.589996,86.164627,2908200
7/24/2019,87.459999,88.739998,87.339996,87.68,86.253159,1849300
7/25/2019,88.019997,88.18,85.019997,85.470001,84.079124,2945100
7/26/2019,85.019997,85.199997,83.470001,84.290001,82.918327,3026100
7/29/2019,84.059998,84.389999,82.010002,83.919998,82.554344,3407000
7/30/2019,83.599998,86.730003,83.050003,86.059998,84.659523,3707600
7/31/2019,85.860001,88.129997,85.25,85.849998,84.452942,3144300
8/1/2019,84,84.300003,79.449997,81.07,79.750725,8080000
8/2/2019,83.050003,87.839996,80.059998,82.459999,81.118103,6795800
8/5/2019,80.25,81.629997,78.800003,79,77.714409,5476400
8/6/2019,79.529999,79.910004,76.870003,78.279999,77.006126,4257200
8/7/2019,76.650002,78.099998,74.839996,77.550003,76.28801,5249900
8/8/2019,78,80.389999,77.599998,80.360001,79.052284,6235200
8/9/2019,80.800003,80.879997,79.260002,79.370003,78.078392,2787800
8/12/2019,78.75,79.629997,77.800003,77.919998,76.651985,3908600
8/13/2019,77.489998,79.93,76.830002,78.519997,77.242218,4881100
8/14/2019,76.480003,76.879997,74.260002,75.019997,73.799179,6971500
8/15/2019,74.910004,75.519997,73.949997,74.940002,73.720474,4008300
8/16/2019,75.190002,76.57,74.830002,75.919998,74.68454,2540900
